20210620-135435, fd=4 -2804:213c:21:77:b41a:2f90:3e40:c946-: new hp=0
20210620-135436, fd=4 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET / HTTP/1.1
20210620-135436, fd=4 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
20210620-135436, fd=4 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /tmp/bandinfo.js HTTP/1.1
20210620-135436, fd=4 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
20210620-135436, fd=4 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135436, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: new hp=1
20210620-135436, fd=8 -2804:213c:21:77:b41a:2f90:3e40:c946-: new hp=2
20210620-135436, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /websdr-base.js HTTP/1.1
20210620-135436, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
20210620-135436, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135436, fd=12 -2804:213c:21:77:b41a:2f90:3e40:c946-: new hp=3
20210620-135436, fd=12 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /css/fontawesome-all.css HTTP/1.1
20210620-135436, fd=12 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
20210620-135436, fd=12 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135436, fd=12 -2804:213c:21:77:b41a:2f90:3e40:c946-: sending 404 for file not found: pub2/css/fontawesome-all.css
20210620-135436, fd=13 -2804:213c:21:77:b41a:2f90:3e40:c946-: new hp=4
20210620-135436, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /HamHomer.png HTTP/1.1
20210620-135436, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
20210620-135436, fd=7 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135436, fd=12 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /edgelower.png HTTP/1.1
20210620-135436, fd=12 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
20210620-135436, fd=12 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135436, fd=13 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /carrier.png HTTP/1.1
20210620-135436, fd=13 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
20210620-135436, fd=13 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135436, fd=14 -2804:213c:21:77:b41a:2f90:3e40:c946-: new hp=5
20210620-135436, fd=8 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /edgeupper.png HTTP/1.1
20210620-135436, fd=8 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
20210620-135436, fd=8 -2804:213c:21:77:b41a:2f90:3e40:c946-: Referer: http://websdr.dynv6.net:8901/
20210620-135436, fd=4 -2804:213c:21:77:b41a:2f90:3e40:c946-: http request GET /smeter2.png HTTP/1.1
20210620-135436, fd=4 -2804:213c:21:77:b41a:2f90:3e40:c946-: User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0
